,Cement,Blast Furnace Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate,Age,MPa,Predicted MPa
0,30,,,193.0,,1010.0,1096.0,28,0.4,8.175756631155515
1,50,,356.0,311.5,,,1492.0,28,0.6,17.527275549397068
2,30,,356.0,300.0,,,1492.0,28,0.6,14.12993477210663
3,36,,,152.0,,1012.0,1173.0,1,0.1,-12.654719790509223
4,98,,481.0,415.0,,1300.0,,28,0.4,11.963277903179197
5,60,,326.0,301.0,,1492.0,,28,0.4,10.851933938121363
6,30,,148.0,160.0,,1127.0,863.0,28,0.7,17.366834365758436
7,94,,749.0,624.0,,,,28,0.4,-4.682827540466459
8,94,,749.0,624.0,,,,56,0.5,0.9386450293137791
9,85,,685.0,680.0,,,,28,0.3,-19.875629362521554
10,85,,685.0,680.0,,,,56,0.5,-14.254156792741316
