,Cement,Blast Furnace Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate,Age,MPa,Predicted MPa
0,30,,,193.0,,1010.0,1096.0,28,0.4,56.324689160251204
1,50,,356.0,311.5,,,1492.0,28,0.6,29.433949158033037
2,30,,356.0,300.0,,,1492.0,28,0.6,61.19268245679421
3,36,,,152.0,,1012.0,1173.0,1,0.1,18.36940211099614
4,98,,481.0,415.0,,1300.0,,28,0.4,9.896478261136082
5,60,,326.0,301.0,,1492.0,,28,0.4,32.547222388571335
6,30,,148.0,160.0,,1127.0,863.0,28,0.7,57.5840029953797
7,94,,749.0,624.0,,,,28,0.4,-77.02484124141216
8,94,,749.0,624.0,,,,56,0.5,-71.09171377846769
9,85,,685.0,680.0,,,,28,0.3,-89.49964568003384
10,85,,685.0,680.0,,,,56,0.5,-83.56651821708937
